                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1212,                 1.6509,                 1.2919,                 1.3226,                0.69048,                   0.49,                0.57972,                0.39051,                0.61085,                0.43935,                 0.4521,                0.22758,                 1.2817,                 1.7262,                 1.4199,                 1.6973,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0547,                 1.6677,                 1.2082,                 1.2604,                0.52673,                   0.63,                0.60517,                0.40964,                0.43617,                   0.56,                0.46507,                0.24102,                 1.1249,                 1.6599,                 1.2314,                 1.5298,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0026,                 1.6586,                 1.1755,                 1.2389,                0.67777,                   0.48,                0.61707,                0.43016,                 0.6498,                 0.4221,                0.51568,                0.26312,                 1.1701,                 1.6506,                 1.3251,                 1.6065,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0113,                 1.6301,                 1.1812,                 1.2696,                0.66768,                    0.5,                 0.6154,                0.41215,                0.58129,                   0.44,                0.52054,                0.29225,                 1.1468,                 1.4869,                 1.4239,                 1.5163,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0842,                 1.6175,                 1.2377,                 1.3313,                0.60351,                0.69611,                0.71017,                0.47488,                0.54985,                0.65789,                0.62074,                0.30782,                  1.105,                 1.5042,                 1.1489,                  1.516,              0.0012379,              0.0012379,              0.0012379
                     29,                0.99405,                 1.4988,                 1.1891,                  1.233,                  0.631,                0.63308,                 0.6733,                0.47964,                0.56113,                   0.54,                0.58803,                0.30343,                 1.0431,                 1.5118,                 1.2268,                 1.4713,              0.0012214,              0.0012214,              0.0012214
                     30,                0.92066,                 1.4987,                 1.1105,                 1.1846,                0.66938,                0.65516,                0.70738,                0.50942,                0.56902,                0.56169,                0.57379,                0.30107,                 1.0039,                 1.5904,                 1.1118,                 1.4511,              0.0012049,              0.0012049,              0.0012049
                     31,                0.96566,                 1.5383,                 1.0972,                 1.2524,                 0.5955,                 0.6931,                0.71021,                0.50855,                0.65137,                0.55984,                0.61089,                0.31189,                0.99716,                 1.4391,                 1.3053,                 1.4389,              0.0011884,              0.0011884,              0.0011884
                     32,                0.98367,                 1.5355,                 1.1246,                 1.2087,                 0.6501,                0.63572,                0.66709,                0.45839,                0.63796,                   0.57,                0.59578,                0.29291,                 1.1173,                 1.6261,                 1.2344,                 1.5269,              0.0011719,              0.0011719,              0.0011719
                     33,                0.93825,                 1.4985,                 1.0681,                 1.1896,                0.61374,                   0.74,                0.72066,                 0.5219,                 0.5488,                0.61431,                 0.5767,                0.30813,                0.96969,                 1.4979,                 1.0545,                 1.3805,              0.0011554,              0.0011554,              0.0011554
                     34,                 0.9687,                 1.5222,                 1.1075,                 1.2035,                0.59805,                   0.75,                0.72446,                 0.5325,                0.53507,                   0.67,                0.60688,                0.32154,                0.92412,                 1.3763,                 1.0768,                 1.3434,              0.0011389,              0.0011389,              0.0011389
                     35,                0.95051,                 1.5165,                 1.0552,                 1.2272,                0.68897,                0.71866,                0.73545,                0.52464,                 0.5914,                0.65273,                0.60434,                0.31662,                0.98606,                 1.4639,                 1.0535,                 1.3767,              0.0011224,              0.0011224,              0.0011224
                     36,                0.89793,                 1.4796,                0.96198,                 1.1444,                0.68889,                 0.6633,                0.73475,                0.51117,                0.67286,                   0.56,                0.61333,                 0.3365,                  1.047,                 1.4065,                 1.0205,                 1.4832,              0.0011059,              0.0011059,              0.0011059
                     37,                0.90902,                 1.4158,                0.97672,                  1.171,                0.59191,                   0.69,                0.70894,                0.49498,                0.55105,                   0.63,                0.60073,                0.34073,                 1.0214,                 1.4164,                 1.1042,                 1.4241,              0.0010894,              0.0010894,              0.0010894
                     38,                0.90746,                 1.4426,                 1.0338,                 1.1998,                0.73221,                   0.56,                 0.7176,                0.50813,                0.70772,                0.54903,                0.65026,                0.34634,                0.96103,                 1.3611,                 1.0412,                 1.3945,              0.0010729,              0.0010729,              0.0010729
                     39,                 0.9177,                 1.5055,                 1.0146,                    1.2,                0.64933,                0.60104,                0.69232,                0.48618,                0.53587,                   0.68,                0.60233,                0.32423,                0.99545,                 1.3302,                 1.0914,                 1.4105,              0.0010564,              0.0010564,              0.0010564
                     40,                0.89941,                 1.4962,                0.98109,                 1.1678,                0.64078,                   0.76,                0.70417,                0.50936,                0.60597,                   0.72,                0.62491,                 0.3333,                0.97904,                 1.3063,                 1.0631,                 1.4261,              0.0010399,              0.0010399,              0.0010399
                     41,                0.91366,                 1.5308,                0.98793,                 1.1575,                0.69697,                   0.72,                0.75213,                0.52346,                 0.8034,                   0.53,                0.66395,                0.33948,                 1.0131,                 1.4161,                 1.0216,                 1.4662,              0.0010234,              0.0010234,              0.0010234
                     42,                 0.8802,                 1.3164,                 1.0071,                 1.1889,                0.75114,                0.72044,                0.76772,                0.52777,                0.66815,                0.67684,                0.65012,                0.34878,                 1.0448,                 1.4137,                 1.0228,                 1.4936,              0.0010069,              0.0010069,              0.0010069
                     43,                0.84877,                 1.3761,                 0.9383,                  1.144,                0.77267,                   0.62,                0.76718,                0.54932,                0.69255,                 0.5739,                0.66555,                0.34705,                 0.9762,                 1.3842,                 1.0513,                 1.3868,             0.00099036,             0.00099036,             0.00099036
                     44,                 0.8578,                 1.4449,                0.92625,                 1.1358,                 0.8156,                   0.63,                0.77412,                0.54773,                0.59924,                   0.67,                0.65936,                 0.3532,                0.99915,                 1.3533,                 1.0124,                 1.3608,             0.00097386,             0.00097386,             0.00097386
                     45,                0.82222,                 1.3478,                0.90523,                 1.1151,                0.74634,                0.70291,                0.79059,                0.58151,                0.68073,                0.64418,                0.68532,                0.34554,                0.92819,                 1.3003,                  0.909,                  1.335,             0.00095736,             0.00095736,             0.00095736
