                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0368,                 1.4925,                 1.1713,                 1.1386,                0.71165,                0.62207,                0.72129,                0.50168,                0.65111,                0.56545,                 0.5883,                0.30539,                 1.1274,                 1.5309,                 1.1873,                 1.2993,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0303,                 1.5525,                 1.1703,                 1.1382,                0.66046,                0.68457,                0.72494,                0.48808,                0.57098,                0.60723,                0.58169,                0.30234,                 1.1098,                 1.5364,                 1.1787,                 1.2842,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0039,                 1.5593,                 1.1336,                 1.1191,                0.59326,                0.66332,                0.67948,                0.48197,                0.59794,                   0.48,                0.51973,                0.29581,                 1.1037,                 1.5797,                 1.1637,                 1.2236,              0.0012709,              0.0012709,              0.0012709
                     27,                0.97733,                   1.57,                 1.1388,                 1.1127,                0.66198,                0.55987,                0.66783,                0.48114,                0.69078,                   0.42,                0.55417,                0.29201,                 1.0755,                 1.4904,                 1.3103,                  1.229,              0.0012544,              0.0012544,              0.0012544
                     28,                0.97723,                 1.5473,                 1.1353,                 1.1363,                0.45098,                0.67475,                0.60705,                0.41476,                0.48685,                0.48676,                0.50204,                0.23484,                 1.1056,                 1.4141,                 1.4302,                  1.225,              0.0012379,              0.0012379,              0.0012379
                     29,                 0.9554,                 1.4204,                 1.1484,                 1.0949,                0.60558,                   0.66,                0.66272,                0.47392,                0.57683,                0.60773,                0.58374,                0.27674,                0.96957,                 1.3791,                 1.1633,                 1.1222,              0.0012214,              0.0012214,              0.0012214
                     30,                0.87318,                 1.4264,                 1.1172,                 1.0566,                0.70434,                0.56848,                0.64309,                0.47381,                0.67776,                0.53767,                 0.5599,                0.32342,                 1.0949,                 1.4357,                 1.2517,                 1.2735,              0.0012049,              0.0012049,              0.0012049
                     31,                0.93793,                 1.4589,                 1.1026,                 1.1204,                0.58411,                   0.66,                0.65866,                0.46608,                0.54013,                   0.61,                0.56225,                0.30816,                 1.0638,                 1.4088,                 1.4056,                 1.2469,              0.0011884,              0.0011884,              0.0011884
                     32,                0.97287,                 1.5049,                 1.1124,                 1.0998,                0.59217,                   0.73,                0.71021,                0.48351,                0.54733,                   0.67,                0.62987,                0.35255,                 1.0785,                 1.3972,                  1.131,                 1.2215,              0.0011719,              0.0011719,              0.0011719
                     33,                0.91606,                 1.4769,                 1.0433,                 1.0624,                0.75853,                0.63345,                0.75636,                0.53089,                0.67852,                   0.57,                0.64232,                0.34518,                 1.0365,                 1.4221,                 1.0707,                 1.1889,              0.0011554,              0.0011554,              0.0011554
                     34,                0.97392,                 1.4566,                 1.0811,                 1.0973,                0.70753,                   0.76,                0.80507,                0.55723,                0.62504,                0.67042,                0.65322,                0.34564,                 1.0038,                 1.3618,                 1.0258,                 1.2021,              0.0011389,              0.0011389,              0.0011389
                     35,                0.95621,                 1.4121,                  1.031,                 1.0903,                0.69866,                0.74623,                0.78922,                0.57358,                0.64691,                0.64335,                0.67374,                0.37122,                0.97224,                 1.4533,                0.99527,                 1.1572,              0.0011224,              0.0011224,              0.0011224
                     36,                0.91061,                  1.403,                0.98871,                 1.0572,                0.70479,                0.75357,                0.77225,                0.55034,                 0.6638,                0.61243,                 0.6261,                0.34233,                0.95203,                 1.4497,                 1.0403,                 1.1572,              0.0011059,              0.0011059,              0.0011059
