                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1386,                 1.6563,                 1.3113,                 1.3514,                0.42375,                   0.56,                0.51338,                0.34851,                0.36409,                   0.49,                 0.4052,                0.20735,                 1.1979,                 1.6764,                 1.5872,                 1.6545,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.0973,                 1.7452,                 1.3245,                 1.3047,                0.45807,                0.69228,                0.55847,                0.37357,                0.39117,                   0.57,                0.44654,                 0.2139,                 1.2027,                 1.6602,                 1.4187,                 1.6203,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.0769,                  1.718,                  1.271,                 1.2796,                0.69196,                   0.64,                 0.6748,                0.46703,                0.63123,                0.54634,                0.53961,                0.27757,                 1.0977,                 1.5023,                 1.2905,                 1.4904,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0123,                 1.7185,                 1.2607,                 1.2747,                 0.6336,                0.60143,                0.61493,                0.44544,                0.60189,                   0.56,                0.53695,                0.26793,                 1.0755,                 1.5075,                 1.2992,                 1.4932,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0799,                 1.6683,                 1.3302,                 1.3153,                0.63378,                   0.66,                 0.7157,                0.49349,                0.60285,                   0.62,                0.64575,                0.33419,                 1.0447,                 1.4429,                 1.2104,                 1.4476,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.0399,                 1.5824,                 1.2571,                 1.2729,                0.55144,                 0.7346,                0.71213,                0.51405,                0.79904,                   0.43,                0.57403,                0.30868,                 1.0059,                 1.5623,                 1.1801,                 1.3784,              0.0012214,              0.0012214,              0.0012214
                     30,                0.93587,                   1.53,                 1.1905,                  1.199,                0.62868,                   0.68,                0.69493,                0.48272,                0.61304,                0.59827,                0.61234,                 0.3083,                 1.1189,                 1.5007,                 1.0995,                 1.5308,              0.0012049,              0.0012049,              0.0012049
                     31,                0.96886,                 1.6001,                 1.1694,                 1.2383,                0.50639,                    0.7,                 0.6644,                0.47838,                0.52106,                0.60014,                0.57957,                0.32035,                 1.0116,                 1.4978,                 1.2211,                 1.4655,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.0529,                 1.6284,                 1.1918,                 1.2487,                0.31333,                    0.6,                0.40269,                0.29497,                0.29423,                0.55878,                0.34948,                0.15892,                 1.0957,                 1.5872,                 1.7771,                 1.5025,              0.0011719,              0.0011719,              0.0011719
                     33,                0.98326,                  1.564,                  1.147,                 1.2144,                0.61757,                   0.79,                0.74537,                0.52277,                0.69979,                0.53908,                0.63345,                0.33039,                  1.091,                 1.5641,                0.99332,                  1.543,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.0071,                 1.5736,                 1.1659,                 1.2322,                 0.6109,                0.72814,                0.73179,                0.51381,                0.77139,                 0.4839,                0.62058,                0.34059,                 1.0402,                 1.3771,                 1.0324,                 1.4443,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.0019,                 1.5795,                 1.1352,                 1.2568,                0.57341,                0.73352,                0.72811,                0.49288,                0.60326,                0.52533,                0.54534,                0.27946,                 1.0404,                 1.4732,                 1.0402,                 1.4059,              0.0011224,              0.0011224,              0.0011224
                     36,                0.99228,                 1.5514,                 1.1256,                 1.2003,                0.70388,                    0.7,                0.72114,                0.49967,                0.65194,                0.67944,                0.64025,                0.31645,                   1.03,                 1.4577,                 1.1538,                 1.4645,              0.0011059,              0.0011059,              0.0011059
                     37,                0.94305,                 1.4677,                 1.1012,                 1.1857,                0.70418,                   0.64,                0.71453,                0.50678,                0.69384,                0.57919,                0.64015,                0.31885,                 1.0091,                 1.3789,                 1.1144,                 1.4138,              0.0010894,              0.0010894,              0.0010894
                     38,                0.93875,                 1.4789,                 1.1255,                 1.2154,                0.72592,                0.58194,                0.67587,                0.50548,                0.73419,                   0.56,                0.61663,                0.34318,                 1.0519,                 1.4793,                 1.1169,                 1.4597,              0.0010729,              0.0010729,              0.0010729
                     39,                0.92551,                 1.5979,                 1.0904,                 1.1965,                0.70084,                   0.66,                0.71212,                0.51366,                0.61934,                0.60318,                0.62858,                0.33522,                 1.0428,                 1.4858,                 1.1568,                 1.4749,              0.0010564,              0.0010564,              0.0010564
                     40,                 0.9054,                 1.5818,                 1.0516,                 1.1664,                0.70851,                0.65401,                0.75948,                0.53598,                0.74177,                 0.5451,                0.64542,                0.34565,                0.98999,                 1.4697,                 1.0279,                 1.3836,              0.0010399,              0.0010399,              0.0010399
                     41,                0.93882,                 1.5784,                 1.0529,                 1.1721,                0.69531,                0.61356,                 0.6917,                0.48522,                0.63044,                0.58148,                0.57636,                0.28433,                 1.0376,                 1.4249,                 1.1406,                 1.4413,              0.0010234,              0.0010234,              0.0010234
                     42,                0.86758,                 1.3559,                 1.0345,                 1.1738,                0.66364,                0.68187,                0.75137,                0.52744,                0.62882,                   0.56,                0.61019,                 0.3165,                 0.9826,                 1.3613,                 1.0555,                 1.3825,              0.0010069,              0.0010069,              0.0010069
                     43,                0.84225,                 1.4283,                0.99393,                 1.1447,                0.71262,                   0.67,                0.75234,                0.53875,                0.68911,                0.56993,                0.62749,                0.31901,                0.99481,                 1.3543,                 1.1265,                 1.3814,             0.00099036,             0.00099036,             0.00099036
                     44,                0.83764,                 1.4643,                0.96448,                 1.1327,                 0.7015,                   0.71,                0.72698,                0.52496,                0.63281,                   0.64,                0.60491,                0.32705,                 1.0303,                 1.3822,                 1.0962,                 1.4341,             0.00097386,             0.00097386,             0.00097386
                     45,                0.86198,                 1.3805,                 1.0103,                 1.1574,                0.60556,                0.60852,                0.60586,                0.44539,                0.55523,                   0.51,                0.49544,                0.25543,                 1.0326,                 1.4749,                 1.2812,                 1.4374,             0.00095736,             0.00095736,             0.00095736
                     46,                0.85696,                 1.4689,                0.97054,                 1.1336,                0.47764,                0.65495,                0.54458,                 0.3846,                0.46028,                   0.63,                0.47638,                0.24476,                 1.0236,                 1.4503,                 1.4803,                  1.447,             0.00094085,             0.00094085,             0.00094085
                     47,                0.85924,                   1.41,                0.96561,                 1.1539,                0.74042,                   0.64,                0.72697,                0.50986,                0.66434,                   0.58,                0.62305,                0.34225,                0.99072,                 1.3883,                 1.0823,                 1.4268,             0.00092435,             0.00092435,             0.00092435
                     48,                0.84836,                 1.4807,                 1.0208,                 1.1275,                0.60369,                   0.81,                0.76059,                0.56373,                0.54255,                   0.73,                0.63633,                0.32679,                0.95948,                 1.3433,                0.95344,                 1.3583,             0.00090785,             0.00090785,             0.00090785
                     49,                0.83835,                 1.3933,                0.95529,                 1.1381,                0.67594,                0.74439,                0.77319,                0.60398,                0.57528,                    0.7,                0.62802,                0.33148,                0.89061,                 1.3743,                0.92395,                 1.2906,             0.00089134,             0.00089134,             0.00089134
                     50,                0.83042,                 1.3688,                0.92775,                  1.121,                0.72448,                0.74823,                0.78812,                0.58308,                0.64684,                0.66951,                0.62576,                0.35084,                0.89042,                 1.3423,                0.88314,                 1.2979,             0.00087484,             0.00087484,             0.00087484
                     51,                0.79603,                 1.3284,                0.90404,                 1.1207,                0.78936,                 0.7492,                0.79881,                0.57922,                0.70147,                0.67627,                 0.6459,                0.37268,                0.91667,                 1.3455,                0.95673,                 1.3317,             0.00085834,             0.00085834,             0.00085834
                     52,                 0.8526,                 1.4503,                0.97127,                 1.1397,                0.82368,                0.71488,                0.80862,                0.58984,                0.83087,                0.59944,                0.67449,                0.36733,                0.96298,                 1.3679,                0.88747,                 1.3786,             0.00084184,             0.00084184,             0.00084184
                     53,                0.80138,                 1.4647,                0.91244,                 1.1015,                0.65286,                0.73858,                0.74878,                0.55801,                0.56956,                   0.67,                0.63052,                0.33182,                 0.9332,                 1.4718,                 1.0083,                 1.3345,             0.00082533,             0.00082533,             0.00082533
                     54,                0.81147,                 1.4224,                0.89826,                 1.1188,                0.65201,                    0.7,                 0.7474,                0.56577,                0.58777,                0.66011,                 0.6685,                0.35765,                0.92516,                 1.4203,                0.94391,                 1.3231,             0.00080883,             0.00080883,             0.00080883
                     55,                0.77351,                 1.3455,                 0.8987,                 1.0648,                0.74575,                 0.7587,                0.81544,                 0.6229,                0.73604,                0.71602,                0.73274,                0.38378,                0.84467,                 1.3824,                0.82886,                 1.2972,             0.00079233,             0.00079233,             0.00079233
                     56,                0.76451,                 1.3579,                0.88006,                 1.0937,                0.73362,                0.79997,                0.83161,                0.62473,                0.74478,                0.70653,                0.74444,                0.38904,                0.85923,                 1.4182,                0.80137,                 1.3048,             0.00077582,             0.00077582,             0.00077582
                     57,                0.75214,                 1.2888,                 0.8706,                 1.0952,                0.70958,                0.72928,                0.79302,                0.60273,                0.78229,                   0.63,                0.73578,                0.38216,                0.85696,                 1.3788,                0.87731,                 1.2926,             0.00075932,             0.00075932,             0.00075932
                     58,                 0.7368,                 1.2824,                0.81525,                 1.0564,                0.78505,                0.64893,                0.78598,                0.58811,                0.78367,                 0.6364,                0.73077,                 0.3909,                0.86105,                 1.3074,                0.88002,                  1.303,             0.00074282,             0.00074282,             0.00074282
                     59,                0.75218,                 1.3623,                0.82248,                 1.0578,                0.75233,                0.69408,                0.79976,                0.58415,                0.73539,                   0.67,                0.72658,                 0.4064,                0.89064,                 1.2424,                0.88831,                 1.3305,             0.00072631,             0.00072631,             0.00072631
                     60,                0.79141,                  1.318,                0.83488,                 1.0698,                0.85986,                   0.68,                0.80691,                0.61966,                0.79427,                   0.63,                0.72883,                0.39907,                0.86772,                 1.2752,                0.88149,                 1.3068,             0.00070981,             0.00070981,             0.00070981
                     61,                0.71613,                 1.3467,                0.81588,                  1.048,                0.71913,                   0.78,                0.79855,                 0.6207,                0.67469,                   0.72,                 0.7149,                0.39878,                0.81104,                 1.2855,                0.83649,                 1.2546,             0.00069331,             0.00069331,             0.00069331
                     62,                0.70869,                 1.2386,                0.79037,                 1.0465,                0.67623,                0.84331,                0.83538,                0.64721,                0.68641,                   0.77,                0.75615,                 0.4228,                0.78139,                 1.3265,                 0.7501,                 1.2255,              0.0006768,              0.0006768,              0.0006768
                     63,                0.71868,                 1.2969,                0.77331,                 1.0564,                0.78108,                0.78723,                  0.839,                0.65085,                0.70614,                   0.79,                0.75834,                0.41845,                0.80566,                 1.3035,                0.76996,                 1.2243,              0.0006603,              0.0006603,              0.0006603
                     64,                0.69896,                 1.2388,                0.77532,                 1.0416,                0.75802,                0.80614,                0.81923,                0.63326,                0.69153,                0.73763,                0.73813,                0.38909,                0.82852,                 1.3528,                0.80361,                 1.2331,              0.0006438,              0.0006438,              0.0006438
                     65,                0.67416,                 1.2071,                 0.7638,                 1.0234,                0.78895,                   0.76,                0.82886,                0.63698,                0.73157,                    0.7,                0.72975,                0.41718,                0.80395,                 1.2869,                0.81337,                  1.217,             0.00062729,             0.00062729,             0.00062729
                     66,                0.70864,                 1.2637,                0.76316,                 1.0399,                 0.7714,                0.78906,                0.83454,                0.63861,                0.71965,                0.72275,                0.71278,                0.40998,                0.81994,                 1.2818,                0.80279,                 1.2293,             0.00061079,             0.00061079,             0.00061079
                     67,                0.70119,                 1.2669,                0.80719,                   1.03,                 0.8129,                   0.74,                0.82571,                0.62657,                0.73852,                0.65939,                0.69527,                0.39472,                0.81941,                 1.2859,                   0.84,                 1.2387,             0.00059429,             0.00059429,             0.00059429
                     68,                0.68904,                 1.3406,                0.79422,                 1.0115,                0.70139,                 0.7903,                  0.796,                0.59236,                0.64606,                   0.71,                0.70331,                0.36866,                0.81211,                 1.2996,                0.84621,                 1.2635,             0.00057778,             0.00057778,             0.00057778
                     69,                0.71502,                 1.3193,                0.79932,                 1.0409,                0.72112,                0.75327,                0.80493,                0.62387,                0.68316,                   0.69,                0.71423,                0.38527,                0.81686,                 1.2976,                 0.8452,                 1.2541,             0.00056128,             0.00056128,             0.00056128
                     70,                0.71226,                 1.3882,                0.80613,                 1.0467,                0.79104,                0.74626,                0.79992,                0.60013,                0.72626,                 0.6697,                0.69015,                0.37152,                0.83999,                  1.278,                0.83596,                 1.3093,             0.00054478,             0.00054478,             0.00054478
                     71,                0.69374,                 1.3146,                0.76729,                 1.0519,                0.82639,                0.71767,                 0.8258,                 0.6088,                0.75702,                    0.7,                0.72243,                0.38868,                0.84339,                 1.2865,                0.80296,                 1.3475,             0.00052827,             0.00052827,             0.00052827
                     72,                0.70567,                 1.3439,                  0.818,                 1.0622,                0.76157,                   0.69,                0.80163,                0.60438,                0.74017,                   0.66,                0.69163,                0.38072,                0.84535,                 1.2794,                0.84246,                 1.3369,             0.00051177,             0.00051177,             0.00051177
                     73,                0.66192,                 1.2137,                0.76227,                 1.0305,                0.80552,                0.70411,                0.81787,                0.61729,                0.76666,                0.64757,                 0.7241,                0.38562,                 0.8469,                 1.2825,                0.80471,                 1.3589,             0.00049527,             0.00049527,             0.00049527
                     74,                0.64676,                 1.1945,                0.72025,                 1.0071,                 0.7983,                0.73265,                0.82514,                0.62922,                0.75902,                0.70488,                0.72877,                0.40234,                0.81783,                 1.2842,                0.77801,                 1.3152,             0.00047876,             0.00047876,             0.00047876
                     75,                0.67056,                 1.2395,                0.74151,                 1.0402,                0.85052,                 0.7428,                0.84328,                0.65498,                0.76035,                   0.71,                0.71467,                0.38852,                0.80639,                 1.3432,                0.79483,                 1.2713,             0.00046226,             0.00046226,             0.00046226
                     76,                0.68352,                 1.2561,                0.79698,                 1.0548,                0.78608,                   0.77,                0.83747,                0.65036,                0.71164,                0.70855,                0.71517,                0.36297,                0.80495,                 1.3566,                0.77691,                 1.2675,             0.00044576,             0.00044576,             0.00044576
                     77,                0.66843,                 1.2029,                0.71335,                 1.0179,                  0.806,                0.71446,                0.81472,                0.63621,                0.76287,                0.69615,                0.70239,                0.38305,                0.83765,                 1.3466,                0.80409,                  1.312,             0.00042925,             0.00042925,             0.00042925
                     78,                0.66121,                 1.2909,                0.74559,                 1.0173,                0.76269,                   0.72,                0.80819,                0.61532,                0.76214,                    0.7,                0.72027,                0.39681,                0.83254,                 1.3138,                0.84253,                  1.277,             0.00041275,             0.00041275,             0.00041275
                     79,                0.63435,                 1.1752,                0.72813,                 1.0177,                 0.8112,                   0.76,                0.82994,                0.62175,                0.77366,                0.68011,                 0.7299,                0.40724,                0.85053,                 1.2959,                0.79902,                 1.3023,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.6655,                 1.2516,                0.72108,                  1.023,                0.80243,                   0.75,                0.81533,                0.62685,                0.82748,                0.65885,                0.75938,                0.41408,                0.86596,                 1.3206,                0.74965,                 1.3203,             0.00037974,             0.00037974,             0.00037974
                     81,                 0.6505,                 1.2586,                0.69811,                  1.014,                0.75669,                0.75925,                 0.8124,                0.63122,                0.73765,                   0.69,                0.74267,                0.41382,                0.78956,                 1.3378,                0.75313,                 1.2355,             0.00036324,             0.00036324,             0.00036324
                     82,                0.59082,                 1.1819,                0.66848,                 0.9944,                0.79733,                0.73835,                 0.8166,                0.63594,                0.77582,                0.71785,                0.77426,                0.41811,                0.79434,                 1.2828,                0.75847,                 1.2812,             0.00034674,             0.00034674,             0.00034674
                     83,                0.57341,                 1.0458,                0.64787,                0.96821,                0.78258,                   0.75,                 0.8179,                0.63876,                0.77895,                0.69742,                0.76903,                0.42696,                 0.7872,                 1.2417,                0.76224,                 1.2788,             0.00033023,             0.00033023,             0.00033023
                     84,                0.60303,                 1.1555,                 0.6592,                0.98421,                0.85751,                   0.75,                0.84396,                0.64526,                0.81063,                   0.71,                0.76262,                0.43851,                0.77341,                 1.2537,                0.73596,                 1.2283,             0.00031373,             0.00031373,             0.00031373
                     85,                0.58596,                 1.1348,                0.60741,                0.95507,                0.74109,                0.81077,                0.83578,                0.64995,                0.72489,                0.76588,                0.75138,                0.43881,                0.77978,                 1.3023,                0.72973,                 1.2395,             0.00029723,             0.00029723,             0.00029723
                     86,                0.58578,                 1.1524,                0.61963,                0.98254,                0.70033,                0.84983,                0.82955,                0.64179,                0.66774,                0.80705,                0.75819,                0.43292,                0.77335,                 1.3473,                0.73492,                  1.226,             0.00028072,             0.00028072,             0.00028072
